ID,task_name,events
WK_EVT_20230201_1004_PROD,RightRev Event Upload(Release)),24
WK_EVT_20230226_0550_PROD,RightRev Event Upload(Release)),36
WK_EVT_20230301_1012_PROD,RightRev Event Upload(Release)),29
WK_EVT_20230317_1054_PROD,RightRev Event Upload(Release)),36
WK_EVT_20230323_1104_PROD,RightRev Event Upload(Release)),29
WK_EVT_20230324_2028_PROD,RightRev Event Upload(Release)),30
WK_EVT_20230325_0421_PROD,RightRev Event Upload(Release)),26
WK_EVT_20230201_1004_PROD,RightRev Upload Status Sync,27
WK_EVT_20230226_0550_PROD,RightRev Upload Status Sync,47
WK_EVT_20230301_1012_PROD,RightRev Upload Status Sync,36
WK_EVT_20230317_1054_PROD,RightRev Upload Status Sync,49
WK_EVT_20230323_1104_PROD,RightRev Upload Status Sync,31
WK_EVT_20230324_2028_PROD,RightRev Upload Status Sync,20
WK_EVT_20230325_0421_PROD,RightRev Upload Status Sync,20
WK_EVT_20230201_1004_PROD,RightRev Upload Status Sync(Defer),12
WK_EVT_20230226_0550_PROD,RightRev Upload Status Sync(Defer),42
WK_EVT_20230301_1012_PROD,RightRev Upload Status Sync(Defer),11
WK_EVT_20230317_1054_PROD,RightRev Upload Status Sync(Defer),14
WK_EVT_20230323_1104_PROD,RightRev Upload Status Sync(Defer),14
WK_EVT_20230324_2028_PROD,RightRev Upload Status Sync(Defer),10
WK_EVT_20230325_0421_PROD,RightRev Upload Status Sync(Defer),11
